고유번호,법정동코드,법정동명,특수지구분코드,특수지구분명,본번,부번,건축물대장고유번호,기준년도,기준월,동코드,동명,토지대장면적,산정대지면적,건물전체연면적,건물산정연면적,주택가격,표준지여부,데이터기준일자
2826010300100040000,2826010300,인천광역시 서구 검암동,1,일반,4,4,2826010300100040000,2020,01,0,0,1068,325.31,462.73,140.97,175000000,N,2020-04-29
2826010300100150000,2826010300,인천광역시 서구 검암동,1,일반,15,1,2826010300100150000,2020,01,0,0,199,199,199.48,199.48,209000000,N,2020-04-29
2826010300100470000,2826010300,인천광역시 서구 검암동,1,일반,47,0,2826010300100470000,2020,01,0,0,190,190,96.81,96.81,120000000,N,2020-04-29
2826010300104340000,2826010300,인천광역시 서구 검암동,1,일반,434,13,2826010300104340000,2020,01,0,0,330,330,127.69,127.69,265000000,N,2020-04-29
2826010300104430000,2826010300,인천광역시 서구 검암동,1,일반,443,2,2826010300104430000,2020,01,0,0,471,313.69,494.46,329.32,406000000,N,2020-04-29
2826010300104470000,2826010300,인천광역시 서구 검암동,1,일반,447,1,2826010300104470000,2020,01,0,0,706,420.71,658.97,392.65,560000000,N,2020-04-29
2826010300104480000,2826010300,인천광역시 서구 검암동,1,일반,448,4,2826010300104480000,2020,01,0,0,321,321,77.88,77.88,201000000,N,2020-04-29
2826010300104480000,2826010300,인천광역시 서구 검암동,1,일반,448,11,2826010300104480000,2020,01,1,0,887,430.9,222,222,492000000,N,2020-04-29
2826010300104480000,2826010300,인천광역시 서구 검암동,1,일반,448,11,2826010300104480000,2020,01,2,0,887,456.1,234.94,234.94,521000000,N,2020-04-29
2826010300104490000,2826010300,인천광역시 서구 검암동,1,일반,449,2,2826010300104490000,2020,01,2,0,777,346.31,52.89,52.89,223000000,N,2020-04-29
2826010300104490000,2826010300,인천광역시 서구 검암동,1,일반,449,2,2826010300104490000,2020,01,3,0,777,430.69,98.58,98.58,278000000,N,2020-04-29
2826010300104530000,2826010300,인천광역시 서구 검암동,1,일반,453,1,2826010300104530000,2020,01,0,0,519,519,105.85,105.85,407000000,N,2020-04-29
2826010300104530000,2826010300,인천광역시 서구 검암동,1,일반,453,2,2826010300104530000,2020,01,0,0,298,298,193.59,193.59,341000000,N,2020-04-29
2826010300104530000,2826010300,인천광역시 서구 검암동,1,일반,453,3,2826010300104530000,2020,01,0,0,264,264,74.28,74.28,245000000,N,2020-04-29
2826010300104540000,2826010300,인천광역시 서구 검암동,1,일반,454,1,2826010300104540000,2020,01,1,0,208,208,165.96,165.96,158000000,N,2020-04-29
2826010300104540000,2826010300,인천광역시 서구 검암동,1,일반,454,2,2826010300104540000,2020,01,0,0,407,407,46.29,46.29,316000000,N,2020-04-29
2826010300104540000,2826010300,인천광역시 서구 검암동,1,일반,454,3,2826010300104540000,2020,01,0,0,476,476,277.39,277.39,571000000,N,2020-04-29
2826010300104540000,2826010300,인천광역시 서구 검암동,1,일반,454,6,2826010300104540000,2020,01,0,0,353,353,199.98,199.98,364000000,N,2020-04-29
2826010300104550000,2826010300,인천광역시 서구 검암동,1,일반,455,0,2826010300104550000,2020,01,0,0,479,479,61.82,61.82,351000000,N,2020-04-29
2826010300104560000,2826010300,인천광역시 서구 검암동,1,일반,456,2,2826010300104560000,2020,01,0,0,340,340,215.08,215.08,397000000,N,2020-04-29
2826010300104590000,2826010300,인천광역시 서구 검암동,1,일반,459,5,2826010300104590000,2020,01,0,0,347,0,106.2,0,0,N,2020-04-29
2826010300104590000,2826010300,인천광역시 서구 검암동,1,일반,459,5,2826010300104590000,2020,01,1,0,347,136.54,68.91,68.91,144000000,N,2020-04-29
2826010300104600000,2826010300,인천광역시 서구 검암동,1,일반,460,31,2826010300104600000,2020,01,0,0,334,334,77.56,77.56,274000000,N,2020-04-29
2826010300104920000,2826010300,인천광역시 서구 검암동,1,일반,492,2,2826010300104920000,2020,01,0,0,236,209.12,550.8,488.05,613000000,N,2020-04-29
2826010300104930000,2826010300,인천광역시 서구 검암동,1,일반,493,1,2826010300104930000,2020,01,0,0,203.7,165.91,394.3,321.17,416000000,N,2020-04-29
2826010300104930000,2826010300,인천광역시 서구 검암동,1,일반,493,6,2826010300104930000,2020,01,0,0,262,174.68,392.31,261.54,395000000,N,2020-04-29
2826010300104930000,2826010300,인천광역시 서구 검암동,1,일반,493,10,2826010300104930000,2020,01,0,0,282.8,282.8,618.97,618.97,679000000,N,2020-04-29
2826010300104930000,2826010300,인천광역시 서구 검암동,1,일반,493,12,2826010300104930000,2020,01,0,0,203.7,162.1,438.56,349,435000000,N,2020-04-29
2826010300104940000,2826010300,인천광역시 서구 검암동,1,일반,494,5,2826010300104940000,2020,01,0,0,607.5,607.5,127.15,127.15,921000000,N,2020-04-29
2826010300104990000,2826010300,인천광역시 서구 검암동,1,일반,499,4,2826010300104990000,2020,01,0,0,96.7,96.7,80.25,80.25,168000000,N,2020-04-29
2826010300104990000,2826010300,인천광역시 서구 검암동,1,일반,499,5,2826010300104990000,2020,01,0,0,265.3,181.04,372.88,254.44,371000000,N,2020-04-29
2826010300104990000,2826010300,인천광역시 서구 검암동,1,일반,499,7,2826010300104990000,2020,01,0,0,403.2,239.3,493.91,293.12,485000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,1,2826010300105000000,2020,01,1,0,594,363.23,700.7,700.7,797000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,1,2826010300105000000,2020,01,2,0,594,230.77,433.88,433.88,499000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,2,2826010300105000000,2020,01,0,0,270.3,270.3,494.68,494.68,565000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,3,2826010300105000000,2020,01,0,0,222.2,222.2,300.75,300.75,435000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,5,2826010300105000000,2020,01,0,0,123.8,109.91,292.64,259.8,270000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,6,2826010300105000000,2020,01,0,0,218.2,218.2,317.67,317.67,460000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,7,2826010300105000000,2020,01,0,0,211.9,211.9,399.36,399.36,459000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,8,2826010300105000000,2020,01,0,0,186.6,168.05,410.12,372.51,475000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,9,2826010300105000000,2020,01,0,0,191.6,191.6,285.24,285.24,429000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,10,2826010300105000000,2020,01,0,0,267.1,246.64,398.97,368.4,540000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,13,2826010300105000000,2020,01,0,0,200.1,200.1,311.22,311.22,452000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,14,2826010300105000000,2020,01,0,0,213.2,213.2,314.48,314.48,450000000,N,2020-04-29
2826010300105000000,2826010300,인천광역시 서구 검암동,1,일반,500,15,2826010300105000000,2020,01,0,0,211.8,211.8,312.19,312.19,424000000,N,2020-04-29
2826010300105020000,2826010300,인천광역시 서구 검암동,1,일반,502,4,2826010300105020000,2020,01,0,0,176.7,176.7,363.8,363.8,441000000,N,2020-04-29
2826010300105020000,2826010300,인천광역시 서구 검암동,1,일반,502,5,2826010300105020000,2020,01,0,0,176.3,88.15,175.02,87.51,165000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,1,2826010300105030000,2020,01,0,0,326.5,218,480.09,320.54,506000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,2,2826010300105030000,2020,01,0,0,174.9,123.51,247.22,174.58,274000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,3,2826010300105030000,2020,01,0,0,151.2,151.2,283.98,283.98,368000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,4,2826010300105030000,2020,01,0,0,193.3,132.82,238.23,163.68,267000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,5,2826010300105030000,2020,01,0,0,174.9,174.9,314.52,314.52,406000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,7,2826010300105030000,2020,01,0,0,206.3,206.3,396.72,396.72,475000000,N,2020-04-29
2826010300105030000,2826010300,인천광역시 서구 검암동,1,일반,503,9,2826010300105030000,2020,01,0,0,206.3,206.3,396.72,396.72,480000000,N,2020-04-29
2826010300105040000,2826010300,인천광역시 서구 검암동,1,일반,504,5,2826010300105040000,2020,01,0,0,408,408,814,814,986000000,N,2020-04-29
2826010300105040000,2826010300,인천광역시 서구 검암동,1,일반,504,7,2826010300105040000,2020,01,0,0,406.9,110.55,409.6,111.29,194000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,1,2826010300105050000,2020,01,0,0,321.2,321.2,567.49,567.49,721000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,2,2826010300105050000,2020,01,0,0,276.4,276.4,552.24,552.24,631000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,3,2826010300105050000,2020,01,0,0,195,195,292.32,292.32,406000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,5,2826010300105050000,2020,01,0,0,284.4,284.4,510.32,510.32,623000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,7,2826010300105050000,2020,01,0,0,241.3,241.3,477.24,477.24,562000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,8,2826010300105050000,2020,01,0,0,363,363,721.32,721.32,860000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,9,2826010300105050000,2020,01,0,0,398.9,398.9,781.7,781.7,916000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,11,2826010300105050000,2020,01,0,0,321.7,321.7,555.96,555.96,688000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,12,2826010300105050000,2020,01,0,0,321.6,321.6,555.96,555.96,688000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,13,2826010300105050000,2020,01,0,0,284.3,284.3,517.65,517.65,665000000,N,2020-04-29
2826010300105050000,2826010300,인천광역시 서구 검암동,1,일반,505,14,2826010300105050000,2020,01,0,0,276.4,276.4,552.24,552.24,629000000,N,2020-04-29
2826010300105060000,2826010300,인천광역시 서구 검암동,1,일반,506,3,2826010300105060000,2020,01,0,0,768.6,299.45,1257.7,490.06,711000000,N,2020-04-29
2826010300105060000,2826010300,인천광역시 서구 검암동,1,일반,506,5,2826010300105060000,2020,01,0,0,345.3,228.17,493.82,326.3,692000000,N,2020-04-29
2826010300105070000,2826010300,인천광역시 서구 검암동,1,일반,507,8,2826010300105070000,2020,01,0,0,552.2,62.01,1068.92,120.08,192000000,N,2020-04-29
2826010300105090000,2826010300,인천광역시 서구 검암동,1,일반,509,4,2826010300105090000,2020,01,0,0,807.5,317.11,643.95,252.88,659000000,N,2020-04-29
2826010300105140000,2826010300,인천광역시 서구 검암동,1,일반,514,2,2826010300105140000,2020,01,0,0,274.8,58.48,494.59,105.25,182000000,N,2020-04-29
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,2,2826010300105160000,2020,01,0,0,140.9,114.75,288.52,234.98,321000000,N,2020-04-29
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,3,2826010300105160000,2020,01,0,0,401.2,401.2,801.06,801.06,867000000,N,2020-04-29
2826010300105160000,2826010300,인천광역시 서구 검암동,1,일반,516,6,2826010300105160000,2020,01,0,0,214.6,214.6,425.6,425.6,467000000,N,2020-04-29
